Sample           Filename      Group          Replicate
GSM806402_NJ020040.CEL    GSM806402_NJ020040     Control                   32
GSM806403_NJ020042.CEL    GSM806403_NJ020042     Control                   33
GSM806404_NJ020044.CEL    GSM806404_NJ020044     Control                   34
GSM806405_NJ020045.CEL    GSM806405_NJ020045     Control                   35
GSM806406_NJ020049.CEL    GSM806406_NJ020049     Control                   36
GSM806408_NJ020053.CEL    GSM806408_NJ020053     Control                   37
GSM806409_NJ020055.CEL    GSM806409_NJ020055     Control                   38
GSM806410_NJ020056.CEL    GSM806410_NJ020056     Control                   39
GSM806411_NJ020061.CEL    GSM806411_NJ020061     Control                   40
GSM806412_NJ020063.CEL    GSM806412_NJ020063     Control                   41
GSM806413_NJ020064.CEL    GSM806413_NJ020064     Control                   42
GSM806414_NJ020066.CEL    GSM806414_NJ020066     Control                   43
GSM806416_NJ020079.CEL    GSM806416_NJ020079     Control                   44
GSM806417_NJ020080.CEL    GSM806417_NJ020080     Control                   45
GSM806418_NJ020081.CEL    GSM806418_NJ020081     Control                   46
GSM806419_NJ020083.CEL    GSM806419_NJ020083     Control                   47
GSM806420_NJ020343.CEL    GSM806420_NJ020343     Control                   48




